GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median contract rent,Margin of Error; Median contract rent
0500000US12107,12107,"Putnam County, Florida",610,108
0500000US12109,12109,"St. Johns County, Florida",1143,94
0500000US12111,12111,"St. Lucie County, Florida",980,47
0500000US12113,12113,"Santa Rosa County, Florida",853,68
0500000US12115,12115,"Sarasota County, Florida",1028,43
0500000US12117,12117,"Seminole County, Florida",1006,28
0500000US12119,12119,"Sumter County, Florida",774,140
0500000US12127,12127,"Volusia County, Florida",808,24
0500000US12131,12131,"Walton County, Florida",774,102
0500000US13013,13013,"Barrow County, Georgia",726,47
0500000US13015,13015,"Bartow County, Georgia",653,54
0500000US13021,13021,"Bibb County, Georgia",572,19
0500000US13031,13031,"Bulloch County, Georgia",547,60
0500000US13045,13045,"Carroll County, Georgia",617,17
0500000US13047,13047,"Catoosa County, Georgia",570,60
0500000US13051,13051,"Chatham County, Georgia",827,27
0500000US13057,13057,"Cherokee County, Georgia",943,85
0500000US13059,13059,"Clarke County, Georgia",656,24
0500000US13063,13063,"Clayton County, Georgia",723,18
0500000US13067,13067,"Cobb County, Georgia",938,25
0500000US13073,13073,"Columbia County, Georgia",851,74
0500000US13077,13077,"Coweta County, Georgia",755,73
0500000US13089,13089,"DeKalb County, Georgia",876,12
0500000US13095,13095,"Dougherty County, Georgia",506,27
0500000US13097,13097,"Douglas County, Georgia",816,38
0500000US13113,13113,"Fayette County, Georgia",1146,85
0500000US13115,13115,"Floyd County, Georgia",550,42
0500000US13117,13117,"Forsyth County, Georgia",1070,90
0500000US13121,13121,"Fulton County, Georgia",956,20
0500000US13127,13127,"Glynn County, Georgia",661,64
0500000US13135,13135,"Gwinnett County, Georgia",991,19
0500000US13139,13139,"Hall County, Georgia",711,30
0500000US13151,13151,"Henry County, Georgia",914,41
0500000US13153,13153,"Houston County, Georgia",700,74
0500000US13179,13179,"Liberty County, Georgia",858,23
0500000US13185,13185,"Lowndes County, Georgia",577,28
0500000US13215,13215,"Muscogee County, Georgia",652,26
0500000US13217,13217,"Newton County, Georgia",688,56
0500000US13223,13223,"Paulding County, Georgia",880,63
0500000US13245,13245,"Richmond County, Georgia",646,26
0500000US13247,13247,"Rockdale County, Georgia",789,38
0500000US13285,13285,"Troup County, Georgia",594,29
0500000US13295,13295,"Walker County, Georgia",538,39
0500000US13297,13297,"Walton County, Georgia",719,41
