GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
0500000US08013,08013,"Boulder County, Colorado",266105,751,179709,3554,179520,3606,171122,3929,8398,1511,189,241,86396,3680
0500000US08014,08014,"Broomfield County, Colorado",52782,599,37413,1501,37343,1506,35693,1522,1650,740,70,113,15369,1513
0500000US08031,08031,"Denver County, Colorado",565318,1215,402363,5549,402132,5533,384689,5803,17443,2330,231,188,162955,5413
0500000US08035,08035,"Douglas County, Colorado",250105,841,184288,3314,184212,3332,177858,3443,6354,1423,76,90,65817,3029
0500000US08041,08041,"El Paso County, Colorado",536644,1051,365222,4943,334885,4953,314750,5041,20135,2345,30337,2725,171422,4856
0500000US08059,08059,"Jefferson County, Colorado",469770,994,324239,4553,323852,4543,309979,4964,13873,2127,387,392,145531,4470
0500000US08069,08069,"Larimer County, Colorado",280498,694,188497,3787,188349,3803,178017,4025,10332,1920,148,151,92001,3701
0500000US08077,08077,"Mesa County, Colorado",120128,741,75737,2680,75737,2680,68761,3077,6976,1673,0,195,44391,2943
0500000US08101,08101,"Pueblo County, Colorado",131395,566,73879,2483,73618,2515,68153,2449,5465,1323,261,401,57516,2492
0500000US08123,08123,"Weld County, Colorado",224632,821,147375,2405,147022,2465,140473,2759,6549,1381,353,447,77257,2428
0500000US09001,09001,"Fairfield County, Connecticut",752675,1243,511904,5819,511684,5820,476587,6327,35097,3068,220,259,240771,5659
0500000US09003,09003,"Hartford County, Connecticut",726020,1361,474321,5764,474003,5748,445103,6515,28900,2926,318,254,251699,5765
0500000US09005,09005,"Litchfield County, Connecticut",153381,557,104019,2060,103961,2070,98700,2164,5261,1125,58,96,49362,2157
0500000US09007,09007,"Middlesex County, Connecticut",137024,575,93452,2389,93424,2389,90532,2624,2892,833,28,47,43572,2364
0500000US09009,09009,"New Haven County, Connecticut",703467,1342,460614,6053,460048,6003,427830,5515,32218,2720,566,337,242853,6073
0500000US09011,09011,"New London County, Connecticut",222559,985,152448,2519,146243,2842,136922,3024,9321,1367,6205,924,70111,2733
0500000US09013,09013,"Tolland County, Connecticut",127947,608,83818,2380,83369,2410,77785,2621,5584,1589,449,287,44129,2424
0500000US09015,09015,"Windham County, Connecticut",96605,632,63038,2384,62921,2391,58310,2681,4611,1396,117,112,33567,2308
0500000US10001,10001,"Kent County, Delaware",137979,881,85988,2702,84135,2669,77379,2898,6756,1415,1853,527,51991,2746
0500000US10003,10003,"New Castle County, Delaware",449663,1281,287458,5039,286901,5101,270496,5504,16405,2655,557,409,162205,5065
0500000US10005,10005,"Sussex County, Delaware",183417,531,100082,3243,99963,3236,96446,3256,3517,873,119,113,83335,3270
0500000US11001,11001,"District of Columbia, District of Columbia",569932,1139,395244,5295,391916,5304,364797,5549,27119,2646,3328,594,174688,5383
0500000US12001,12001,"Alachua County, Florida",221034,790,126997,4695,126832,4687,119879,4873,6953,1762,165,159,94037,4856
0500000US12005,12005,"Bay County, Florida",148817,1076,90540,2684,87295,2754,82277,2669,5018,1282,3245,967,58277,2767
0500000US12009,12009,"Brevard County, Florida",486542,1112,258340,6787,257246,6849,241915,6941,15331,2496,1094,484,228202,7061
0500000US12011,12011,"Broward County, Florida",1552230,2523,1014569,9530,1013544,9478,955664,9696,57880,4633,1025,459,537661,9951
0500000US12015,12015,"Charlotte County, Florida",158262,660,64608,2913,64534,2920,58844,2752,5690,1564,74,102,93654,2831
0500000US12017,12017,"Citrus County, Florida",125896,959,50586,2977,50586,2977,44862,3380,5724,1537,0,221,75310,3002
0500000US12019,12019,"Clay County, Florida",164627,1341,103649,3468,101222,3614,96433,3666,4789,1414,2427,1046,60978,3318
0500000US12021,12021,"Collier County, Florida",308016,909,161245,3789,161174,3781,155130,4158,6044,1465,71,118,146771,3851
0500000US12023,12023,"Columbia County, Florida",56368,456,27106,1955,27034,1982,25066,2184,1968,910,72,120,29262,2039
0500000US12031,12031,"Duval County, Florida",738517,1621,482000,7268,467305,7295,439862,7132,27443,3315,14695,2005,256517,7339
0500000US12033,12033,"Escambia County, Florida",257321,1046,153127,4241,142574,4472,133788,4556,8786,1786,10553,1889,104194,4247
0500000US12035,12035,"Flagler County, Florida",92828,769,40903,2234,40867,2236,38853,2196,2014,726,36,63,51925,2300
